country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Germany,2009,DEU,80935276.0,3136502162046.0,12.559006690979004,0.1551734656095504,789.9839477539062,-66.65856170654297,-7.781374454498291,776.7681884765625,-70.14208221435547,-8.282113075256348,9.597399711608888,0.2476542890071869,0.2103821039199829,9.760687828063965,0.251867800951004,0.2139614820480346,316.2799072265625,3.9078128337860103,980.0137329101562,12.10861110687256,0.312454342842102,1050.283203125,84056.078125,83898.2109375,60960.41015625,65.86433410644531,5160.72265625,81.64977264404297,16625.490234375,193.30538940429688,45618.8984375,1.1771641969680786,2.5753719806671143,0.0318201407790184,168.39947509765625,2.0806684494018555,10.410351753234863,11.191725730895996,-13.215754508972168,-0.163287952542305,77.14189147949219,0.9531306028366088,40.643272399902344,0.5021700859069824,282.4380798339844,3.489678382873535,0.0955342501401901,7.732090950012207,3692.17822265625,1.0728636980056765,2.506850004196167,2.0415573120117188,2.432328939437866,3.843796968460083,6.422414302825928,3.9414820671081543,9.717765808105469,0.4604594111442566,3.043175220489502,0.0099044386297464,3.601665496826172,2.230463981628418,0.7836554646492004,2.920719623565674,-0.2022360414266586,2.591271162033081,2.23911452293396,3.3871824741363525,0.0047570816241204,0.0381521694362163,0.0450392365455627,0.0021299859508872,905.805419921875,842.5647583007812,190.0298309326172,24.05489730834961
Germany,2010,DEU,80830916.0,3301123203586.0,12.43149185180664,0.1537962555885315,826.7047119140625,36.72076797485352,4.648292064666748,817.8757934570312,41.10758209228515,5.2921295166015625,10.118353843688965,0.2477568238973617,0.2125925570726394,10.227580070495604,0.2504313588142395,0.2148874998092651,341.31121826171875,4.222533226013184,1027.082275390625,12.706552505493164,0.3111311495304107,1062.7147216796875,84882.78125,84716.09375,61301.72265625,68.44609832763672,5345.5966796875,72.82081604003906,16902.64453125,201.65733337402344,47595.046875,1.1654068231582642,2.581763982772827,0.0319403037428855,184.8747711181641,2.2871789932250977,10.86396026611328,11.682601928710938,-8.828957557678223,-0.1092274859547615,76.00130462646484,0.9402503967285156,40.97013854980469,0.506862223148346,277.15350341796875,3.4288055896759033,0.1033258959650993,8.351926803588867,3847.1513671875,0.993078589439392,2.4812798500061035,2.0531327724456787,2.452261447906494,3.718916654586792,6.324575901031494,3.906791925430298,9.560063362121582,0.4674070179462433,3.04091215133667,0.0087641589343547,3.5745608806610107,2.236903429031372,0.759921669960022,2.9790737628936768,-0.1354585736989975,2.462777853012085,2.397075891494751,3.352900743484497,0.004629595670849,0.0385247468948364,0.0453027784824371,0.0021484359167516,944.3153686523438,878.1438598632812,200.37759399414065,24.238109588623047
Germany,2011,DEU,80857877.0,3467712967640.0,13.393264770507812,0.165639579296112,804.5415649414062,-22.163135528564453,-2.680903673171997,793.7695922851562,-24.106176376342773,-2.947413921356201,9.816849708557127,0.2289029210805893,0.2139203697443008,9.95007038116455,0.2320092767477035,0.216823399066925,339.6244812011719,4.2002644538879395,988.974853515625,12.231026649475098,0.2851951420307159,1076.1080322265625,85687.3203125,85509.8671875,61641.34765625,71.11904907226562,5514.99560546875,62.04887008666992,17173.453125,210.3004150390625,45890.20703125,1.0700379610061646,2.672945976257324,0.0330573357641696,169.3988494873047,2.095019817352295,10.569328308105469,11.341652870178224,-10.771940231323242,-0.1332206577062606,74.45560455322266,0.9208207130432128,39.87364959716797,0.4931325316429138,270.8089599609375,3.3491969108581543,0.1068923696875572,8.64309024810791,3710.584716796875,0.9959691762924194,2.3333580493927,1.942060470581055,2.3097071647644043,3.5965371131896973,6.224606037139893,3.8704442977905273,9.39752960205078,0.4741257429122925,3.0272469520568848,0.0074107144027948,3.546992063522339,2.239546775817871,0.7502987384796143,2.6512770652770996,-0.1685075610876083,2.3943891525268555,2.303041458129883,3.316889762878418,0.0045113051310181,0.0388862378895282,0.0455639362335205,0.0021663920488208,917.0619506835938,854.6134643554688,184.4332733154297,22.92402076721191
Germany,2012,DEU,80916391.0,3482225441398.0,13.288640975952148,0.1642268151044845,814.093017578125,9.551424026489258,1.1871933937072754,808.5567626953125,14.78713607788086,1.8628954887390137,9.992496490478516,0.2321954071521759,0.2149321436882019,10.06091594696045,0.2337852567434311,0.2164037972688675,350.039306640625,4.3259382247924805,932.1218872070312,11.51956844329834,0.2676799595355987,1089.396728515625,86501.4140625,86318.4140625,61991.38671875,73.77633666992188,5682.83544921875,56.51264572143555,17445.3984375,218.6234893798828,46491.3984375,1.0803195238113403,2.657291889190674,0.032839972525835,167.83953857421875,2.0742340087890625,10.661894798278809,11.473137855529783,-5.53623104095459,-0.0684191510081291,73.01705932617188,0.9023765921592712,40.135684967041016,0.4960142374038696,271.9451599121094,3.360816717147827,0.102860189974308,8.323075294494629,3761.916259765625,0.9647947549819946,2.3289921283721924,1.9419255256652832,2.354344606399536,3.4807205200195312,6.128137588500977,3.8347713947296143,9.241421699523926,0.4798742532730102,3.0115439891815186,0.0066960640251636,3.520040512084961,2.237708568572998,0.7103941440582275,2.5729856491088867,-0.0828513875603675,2.378657341003418,2.1922411918640137,3.2820448875427246,0.0044033974409103,0.0392533503472805,0.0458412133157253,0.0021844662260264,928.3649291992188,862.7220458984375,118.0289306640625,14.498211860656738
Germany,2013,DEU,81041581.0,3497463140441.0,12.502979278564451,0.1542785614728927,831.7455444335938,17.652544021606445,2.16836929321289,827.7484130859375,19.191679000854492,2.3735761642456055,10.213872909545898,0.2366710752248764,0.2139704525470733,10.263195037841797,0.2378139644861221,0.2150037139654159,357.25384521484375,4.408278465270996,929.558349609375,11.47014045715332,0.2657807469367981,1101.899658203125,87333.1640625,87146.171875,62348.640625,76.46528625488281,5853.1044921875,52.51551055908203,17725.794921875,227.25868225097656,47734.96484375,1.10609233379364,2.688947916030884,0.0331798568367958,170.26904296875,2.101008415222168,10.844176292419434,11.674936294555664,-3.9971306324005127,-0.0493219755589962,71.53376770019531,0.88267982006073,40.874969482421875,0.5043703317642212,280.3955383300781,3.45989727973938,0.106552816927433,8.635209083557129,3868.51708984375,0.8674589395523071,2.357834815979004,1.9900026321411133,2.3891539573669434,3.365672826766968,6.03621244430542,3.801300048828125,9.092004776000977,0.4853054583072662,2.9973673820495605,0.00617620581761,3.4953925609588623,2.2325031757354736,0.7038815021514893,2.5903854370117188,-0.0632505342364311,2.434702157974243,2.108337163925171,3.2496883869171143,0.0043026343919336,0.0396288111805915,0.0461343191564083,0.0022028733510524,946.1552734375,878.8291625976562,97.81279754638672,11.759943008422852
Germany,2014,DEU,81376078.0,3574741315261.0,12.90459156036377,0.1585796773433685,792.5836181640625,-39.16191864013672,-4.708403587341309,790.9263305664062,-36.822078704833984,-4.448461532592773,9.719395637512209,0.2212541401386261,0.2131609916687011,9.739761352539062,0.2217177450656891,0.2136076539754867,344.72247314453125,4.236164569854736,907.7229614257812,11.15466594696045,0.2539269030094147,1114.80419921875,88125.7421875,87937.0859375,62693.36328125,78.94358825683594,6005.09326171875,50.85824966430664,17997.396484375,236.14566040039065,45596.50390625,1.037967324256897,2.478308916091919,0.0304550062865018,151.98867797851562,1.8677315711975095,10.296486854553224,11.129788398742676,-1.6572638750076294,-0.0203654915094375,70.31719970703125,0.8641015887260437,41.64067077636719,0.5117065906524658,271.6025695800781,3.3376216888427734,0.1092086285352706,8.886969566345215,3710.464599609375,0.8646575808525085,2.2347893714904785,1.8887518644332888,2.2958717346191406,3.2566325664520264,5.945257663726807,3.7669918537139897,8.946388244628906,0.4891210496425628,2.974587917327881,0.0059365471825003,3.469841241836548,2.2304563522338867,0.6457760334014893,2.301123857498169,-0.0258547086268663,2.349130868911743,2.179356098175049,3.2171883583068848,0.0042079496197402,0.039986252784729,0.0464158281683921,0.0022216252982616,905.698486328125,837.8876953125,115.13932800292967,14.52708911895752
Germany,2015,DEU,82077546.0,3628073946157.0,12.625554084777832,0.1538247019052505,800.822509765625,8.238911628723145,1.0395050048828125,797.8274536132812,6.901120185852051,0.8725404739379883,9.720410346984863,0.2199038565158844,0.2110174596309662,9.756901741027832,0.2207293808460235,0.2118096202611923,341.1174621582031,4.156038761138916,899.5142822265625,10.959322929382324,0.2479316294193267,1127.4298095703125,88926.5703125,88734.9140625,63034.4765625,81.31725311279297,6162.205078125,47.863182067871094,18276.2578125,244.8778839111328,46064.484375,1.042112112045288,2.3736629486083984,0.0289197601377964,157.11212158203125,1.9141913652420044,10.298741340637209,11.100985527038574,-2.995063543319702,-0.0364906564354896,69.26731872558594,0.8439253568649292,40.71670150756836,0.4960759878158569,278.8614807128906,3.3975367546081543,0.1063898801803588,8.732219696044922,3780.85986328125,0.8763695955276489,2.2619853019714355,1.9033890962600708,2.3276498317718506,3.160503387451172,5.859336853027344,3.7341198921203618,8.810807228088379,0.4922029972076416,2.9539523124694824,0.0055447896011173,3.445420503616333,2.2231380939483643,0.6226921677589417,2.3348548412323,-0.0459885708987712,2.3692517280578613,2.0419557094573975,3.186227798461914,0.0041136350482702,0.0403470359742641,0.0467006340622901,0.0022399611771106,911.1416015625,845.29541015625,98.6917724609375,12.323801040649414
Germany,2016,DEU,82760102.0,3708979940863.0,12.662714004516602,0.1530050486326217,797.98828125,-2.834239959716797,-0.3539144992828369,797.595703125,-0.2317440062761306,-0.0290453433990478,9.637442588806152,0.2150444984436035,0.2076287567615509,9.642186164855955,0.2151503413915634,0.2077309489250183,329.4356384277344,3.98060941696167,910.1709594726562,10.99770164489746,0.2453965544700622,1140.092529296875,89724.5625,89532.515625,63363.9140625,83.66090393066406,6331.37451171875,47.47058868408203,18551.9609375,253.55091857910156,46416.703125,1.0357162952423096,2.3436460494995117,0.0283185485750436,169.16944885253906,2.0440943241119385,10.163920402526855,10.961530685424805,-0.3925976157188415,-0.0047438028268516,67.7248306274414,0.8183271288871765,39.921630859375,0.4823777377605438,275.70379638671875,3.3313612937927246,0.1047972738742828,8.673032760620117,3841.451171875,0.8578217029571533,2.2546608448028564,1.9563595056533811,2.3000481128692627,3.0690033435821533,5.777191162109375,3.704134225845337,8.683018684387207,0.4952520728111267,2.9376702308654785,0.0054652676917612,3.4206559658050537,2.2198398113250732,0.630846381187439,2.446465969085694,-0.0073020318523049,2.3167874813079834,2.1305887699127197,3.157644748687744,0.0040224683471024,0.0407070852816104,0.0469874925911426,0.0022579389624297,907.1774291992188,841.1671142578125,112.18265533447266,14.058183670043944
Germany,2017,DEU,83104010.0,3808389445530.0,13.408147811889648,0.1613417714834213,784.5951538085938,-13.393152236938477,-1.6783654689788818,783.04931640625,-14.546367645263672,-1.8237769603729248,9.422521591186523,0.2056116759777069,0.1982626318931579,9.441122055053713,0.2060175687074661,0.1986540257930755,312.69232177734375,3.762662172317505,901.7907104492188,10.85134983062744,0.2367905676364898,1153.5006103515625,90509.15625,90315.5625,63676.609375,85.92758178710938,6503.42041015625,45.92478561401367,18827.46875,262.22698974609375,47525.45703125,1.037067174911499,2.266679048538208,0.0272752065211534,172.0454864501953,2.0702428817749023,9.957345962524414,10.728350639343262,-1.5458048582077026,-0.018600845709443,67.43343353271484,0.8114342093467712,38.64588165283203,0.4650302827358246,275.5064392089844,3.3152003288269043,0.1044001579284668,8.676072120666504,3949.555908203125,0.8939083218574524,2.180968999862671,1.8968125581741333,2.1573665142059326,2.984588384628296,5.695776462554932,3.673784494400024,8.555931091308594,0.4973581433296203,2.92146372795105,0.0052551864646375,3.3957860469818115,2.213182210922241,0.5899549126625061,2.428438425064087,-0.0291234441101551,2.2796835899353027,2.034841537475586,3.128748655319214,0.0039392057806253,0.0410608127713203,0.0472753643989563,0.0022753423545509,891.5689697265625,827.4954223632812,117.19558715820312,14.937077522277832
Germany,2018,DEU,83368507.0,3845758522294.0,13.227900505065918,0.1586678475141525,758.7713623046875,-25.82374382019043,-3.29134464263916,753.3270874023438,-29.722240447998047,-3.795707225799561,9.036110877990724,0.1958851814270019,0.1959027349948883,9.101414680480955,0.1973008513450622,0.1973185390233993,296.8706359863281,3.5609445571899414,892.1409301757812,10.70117473602295,0.231980487704277,1166.728515625,91267.921875,91068.890625,63973.4765625,87.91610717773438,6673.1806640625,40.48051834106445,19095.5625,271.05670166015625,46125.4921875,0.999910295009613,1.9885220527648928,0.0238521955907344,169.7602996826172,2.036264181137085,9.60390853881836,10.30622386932373,-5.4442644119262695,-0.0653036087751388,65.0361099243164,0.7801041007041931,37.49714279174805,0.4497758746147156,268.0942687988281,3.215773820877075,0.1059120446443557,8.829729080200195,3845.41357421875,0.8551516532897949,2.0655829906463623,1.8101850748062136,2.010951519012451,2.9026405811309814,5.613753795623779,3.6427621841430664,8.428629875183105,0.4972392618656158,2.901033639907837,0.0046064634807407,3.370326042175293,2.202533006668091,0.4921586215496063,2.288055658340454,-0.1115165576338768,2.2078404426574707,1.927140712738037,3.0991404056549072,0.0038620464038103,0.0414015688002109,0.0475558452308177,0.0022922283969819,859.2144775390625,800.66357421875,133.36953735351562,17.577037811279297
Germany,2019,DEU,83559184.0,3886392581475.0,13.286640167236328,0.1590087264776229,708.6489868164062,-50.122432708740234,-6.605738639831543,702.59375,-50.733375549316406,-6.734573841094971,8.408336639404297,0.1807830035686493,0.187173455953598,8.480802536010742,0.182341068983078,0.1887865960597992,240.1139678955078,2.873579502105713,846.4022216796875,10.129374504089355,0.2177860885858535,1180.0152587890625,91976.5703125,91771.484375,64213.59375,89.95339965820312,6845.94287109375,34.4252815246582,19367.49609375,279.5723876953125,44922.6953125,0.9658580422401428,2.037297010421753,0.0243814848363399,172.76217651367188,2.067542552947998,8.962055206298828,9.669800758361816,-6.055235862731934,-0.0724664330482482,63.0426025390625,0.7544664740562439,37.3375129699707,0.4468391239643097,271.9332275390625,3.2543785572052,0.1019116938114166,8.515658378601074,3753.70361328125,0.8223322629928589,1.9107967615127563,1.6738885641098022,1.633099913597107,2.8222501277923584,5.531168460845947,3.610251665115357,8.299492835998535,0.496616929769516,2.881267786026001,0.0038957446813583,3.345539808273315,2.1940810680389404,0.471169114112854,2.280972957611084,-0.1239004656672477,2.2061920166015625,1.9552546739578247,3.068565845489502,0.0037866327911615,0.0417202301323413,0.0478159040212631,0.002309042494744,808.000732421875,748.8619384765625,137.75328063964844,19.438859939575195
Germany,2020,DEU,83628711.0,3742721113842.0,13.35749053955078,0.1597237437963485,647.1768188476562,-61.47212600708008,-8.67455005645752,642.3424682617188,-60.25126266479492,-8.575546264648438,7.68088436126709,0.1716244518756866,0.1835833191871643,7.738691806793213,0.1729161292314529,0.1849649995565414,198.5301971435547,2.373947858810425,777.6238403320312,9.298527717590332,0.2077696621417999,1193.3726806640625,92623.75,92413.828125,64412.12109375,91.77488708496094,7016.90625,29.59088897705078,19621.9609375,287.61181640625,41838.68359375,0.9348586201667786,1.8214869499206543,0.0217806417495012,170.96340942382812,2.0443148612976074,8.201042175292969,8.894268989562988,-4.8343915939331055,-0.0578077957034111,61.04490280151367,0.7299515008926392,36.14317321777344,0.4321861565113067,254.46482849121097,3.042792797088623,0.0961325466632843,8.039441108703613,3498.9150390625,0.8224791884422302,1.8407549858093264,1.6190199851989746,1.3915307521820068,2.7474782466888428,5.454757213592529,3.579650640487671,8.174417495727539,0.4957257211208343,2.8626110553741455,0.0033316314220428,3.326673746109009,2.1861486434936523,0.4553703069686889,2.273201704025269,-0.1070375144481659,2.3276333808898926,1.9419935941696167,3.040032148361206,0.0037186311092227,0.0420114248991012,0.0480553731322288,0.0023253187537193,743.8162841796875,685.842529296875,130.44703674316406,20.156320571899418
Germany,2021,DEU,83697080.0,3841041747482.0,13.640216827392578,0.1629712432622909,677.9976806640625,30.820863723754883,4.7623515129089355,674.287841796875,31.94540786743164,4.973268508911133,8.056288719177246,0.1755481660366058,0.1873806565999984,8.100613594055176,0.1765140146017074,0.1884115934371948,232.1385955810547,2.773556709289551,834.0736694335938,9.96538543701172,0.2171477675437927,1207.0128173828125,93301.7421875,93088.109375,64644.2578125,93.64653778076172,7198.2158203125,25.88109016418457,19862.484375,296.1246337890625,42994.2421875,0.9368532299995422,1.871649980545044,0.0223621893674135,181.3095703125,2.166259288787842,8.573724746704102,9.256749153137209,-3.7098002433776855,-0.0443241298198699,60.245338439941406,0.7198021411895752,35.43970489501953,0.4234282076358795,240.52484130859375,2.8737542629241943,0.1017098352313041,8.512816429138184,3598.492431640625,0.8183058500289917,1.8390436172485352,1.623852252960205,1.5507698059082031,2.676179885864258,5.377922534942627,3.5486905574798584,8.050931930541992,0.4950795173645019,2.84512996673584,0.0028987466357648,3.3029797077178955,2.178549289703369,0.4653342962265014,2.301262855529785,-0.0796589702367782,2.0891284942626953,1.949580669403076,3.011188507080078,0.0036562483292073,0.0423172302544117,0.0483147576451301,0.0023412781301885,774.7628784179688,717.595703125,156.0759735107422,23.020132064819336
Germany,2022,DEU,84086227.0,3909612753939.0,12.537957191467283,0.1491083353757858,667.843017578125,-10.154687881469728,-1.4977455139160156,663.1506958007812,-11.137151718139648,-1.6516923904418943,7.8865556716918945,0.1696205586194992,0.1919144392013549,7.94235897064209,0.1708207577466964,0.1932723820209503,239.42755126953125,2.847405195236206,838.813232421875,9.975631713867188,0.2145514786243438,1219.5509033203125,93969.5859375,93751.265625,64883.6875,95.48099517822266,7356.90087890625,21.18878746032715,20109.501953125,304.46600341796875,41094.125,0.8838343024253845,1.8344520330429075,0.0218163188546895,158.68511962890625,1.8871713876724243,8.399130821228027,9.035898208618164,-4.692301273345947,-0.0558034479618072,58.91347122192383,0.7006316781044006,34.33824157714844,0.4083693921566009,247.01657104492188,2.9376580715179443,0.0992004051804542,8.341387748718262,3455.449951171875,0.7941752672195435,1.7795966863632202,1.567244529724121,1.5497753620147705,2.6125307083129883,5.301734924316406,3.5172362327575684,7.928205490112305,0.4943532645702362,2.8213300704956055,0.0023605450987815,3.2790865898132324,2.1716439723968506,0.4599109292030334,2.0452420711517334,-0.0980546995997428,2.073171615600586,1.951993703842163,2.9816291332244873,0.0035978001542389,0.0426173955202102,0.0485719367861747,0.0023567415773868,759.7946166992188,706.251220703125,170.97024536132812,25.60036277770996
